level,n,y,p,gap,se,z,contrib,var
23484,1071,0.4173669467787115,0.44122236253881364,-0.02385541576010214,0.015172373701842061,-1.5722929205998848,0.9624297040674391,투수
23487,248,0.3588709677419355,0.4274241390831827,-0.06855317134124722,0.031413780133998336,-2.1822643135855486,1.8404005291812402,투수
23504,282,0.5212765957446809,0.48794068586405204,0.033335909880628845,0.029765905393752505,1.119936028810521,0.49485652687058035,투수
23518,359,0.5041782729805014,0.5231109203887319,-0.01893264740823042,0.026360786133339198,-0.718212549218545,0.2031995351034503,투수
23540,817,0.4981640146878825,0.5036129479932148,-0.005448933305332249,0.017492329027151383,-0.3115041625888971,0.038304571513187766,투수
23542,311,0.5048231511254019,0.5008153756219682,0.004007775503433675,0.028352361156691513,0.14135596965926026,0.00788810584568178,투수
23554,210,0.5095238095238095,0.46781341837295,0.041710391150859505,0.03443171461390164,1.211394541880268,0.5769170677974357,투수
23555,2892,0.43775933609958506,0.44550135416035874,-0.007742018060773681,0.009242205373532014,-0.837680807542473,0.27372358317403617,투수
23558,720,0.4597222222222222,0.46520191821364215,-0.005479695991419953,0.018588717213525802,-0.2947861290521292,0.03413901558243679,투수
23560,221,0.45701357466063347,0.4485255108978119,0.008488063762821574,0.03345493199791215,0.2537163657469486,0.025142884944277025,투수
23561,1929,0.5132192846034215,0.532864975413488,-0.019645690810066507,0.011359617009198951,-1.72943249707781,1.17563472292419,투수
23564,295,0.36610169491525424,0.4567511593556609,-0.09064946444040667,0.02900201850268769,-3.1256260467527786,3.827877833455877,투수
23565,509,0.40471512770137524,0.4565368849202578,-0.05182175721888255,0.022078221257275158,-2.347188961239637,2.1584779708605275,투수
23589,1887,0.4917859035506094,0.4879619823239027,0.003823921226706717,0.011506894919992574,0.3323156466878716,0.043570780745680805,투수
23590,734,0.4550408719346049,0.4573381963524523,-0.002297324417847413,0.01838803553483714,-0.12493582653214945,0.006117109924377414,투수
23593,2003,0.5127309036445332,0.504709817066633,0.008021086577900238,0.011171468401791283,0.7179975173732848,0.20349461681480663,투수
23597,564,0.49113475177304966,0.4750652981940904,0.01606945357895928,0.021027601779711295,0.764207623261349,0.22997831644234593,투수
23617,287,0.5017421602787456,0.46891778907253034,0.032824371206215286,0.029456984297716045,1.1143153988360015,0.48829277137153354,투수
23627,267,0.449438202247191,0.46201768287965234,-0.012579480632461337,0.030511086189654812,-0.41229212733588544,0.06671788195666213,투수
23630,1088,0.5193014705882353,0.5443416292147789,-0.02504015862654363,0.015098750311021649,-1.65842590351766,1.0772304336589784,투수
23633,1813,0.5874241588527302,0.5831277968995834,0.0042963619531468655,0.011579356866897969,0.3710363194202021,0.05284514522187101,투수
23637,511,0.5772994129158513,0.5337278478054882,0.043571565110363086,0.02206831735066467,1.9743945321255207,1.5319083673352196,투수
23638,858,0.48951048951048953,0.49244153220268305,-0.0029310426921935195,0.01706776803762568,-0.17172970043488245,0.011639575558920168,투수
23642,1003,0.518444666001994,0.5362028611037728,-0.017758195101778784,0.01574628579376749,-1.127770404675852,0.49946394927749194,투수
23644,281,0.48398576512455516,0.49629506654047945,-0.01230930141592429,0.029826680446110306,-0.41269431367544435,0.06723241325084484,투수
23650,386,0.43005181347150256,0.45525425335356157,-0.025202439882059002,0.025347216695117747,-0.9942882559927524,0.3871489156465484,투수
23653,453,0.37527593818984545,0.4170364057750591,-0.04176046758521368,0.02316640265544036,-1.8026306546738156,1.2474825378878378,투수
23665,622,0.41318327974276525,0.44596033972654925,-0.032777059983783996,0.01993073678210871,-1.6445483346710539,1.0552028223180994,투수
23676,802,0.456359102244389,0.4629121005980217,-0.006552998353632655,0.017606975766959247,-0.37218193745287176,0.05438261083057793,투수
23695,1330,0.46691729323308273,0.47865498003481055,-0.01173768680172782,0.013697713714138594,-0.8569084627321667,0.28934917110606495,투수
23719,2693,0.5573709617526922,0.5686756475500886,-0.011304685797396408,0.009543685695948052,-1.184519917938624,0.5434491491827458,투수
23736,249,0.37751004016064255,0.45672891044141045,-0.0792188702807679,0.031567331800162905,-2.5095206266485626,2.4675286520075166,투수
23737,683,0.4612005856515373,0.47357616654135704,-0.012375580889819715,0.01910523300812639,-0.6477586996481945,0.16517999842842448,투수
23745,756,0.5079365079365079,0.5194506326301882,-0.011514124693680294,0.018171059352801177,-0.6336518124852927,0.1582665807911601,투수
23749,812,0.41625615763546797,0.45829281461051047,-0.0420366569750425,0.01748540949422961,-2.4040990855212794,2.2657810412845296,투수
23751,1194,0.4489112227805695,0.48351209308655485,-0.034600870305985354,0.014462107506827622,-2.3925192292790065,2.2572722348624055,투수
23761,284,0.4859154929577465,0.46072129961698893,0.025194193340757565,0.029577850469007676,0.8517925725250588,0.2846589370494543,투수
23769,694,0.4610951008645533,0.4551282227908668,0.00596687807368651,0.01890315541756903,0.31565513491682745,0.03901749337758429,투수
23771,479,0.44676409185803756,0.45789041298076805,-0.011126321122730487,0.02276441857345844,-0.4887592927896222,0.09363630367235223,투수
23781,1043,0.5953978906999041,0.5903960817558317,0.005001808944072428,0.015226904722364378,0.3284849439378225,0.04120444545989152,투수
