variant,tau,K1,K2,K3,n_season,BSS,Resolution,Reliability,dBSS,dResolution,paired,paired_se,sigma
l1only,1.5,3000.0,300.0,300.0,4,402.9500467870206,558.5965307242615,154.7041241773593,-0.1318528872418483,-0.05552505868422486,-0.13041599984719995,0.39430492206135564,0.3307491044377748
l1only,1.5,10000.0,300.0,300.0,4,403.0657998688625,560.7932159148189,156.44865421324764,-0.016099805399960587,2.141160131873221,-0.01564779212853381,0.11924444396377758,0.13122449657517862
hier,1.5,10.0,300.0,300.0,4,0.0,300.70322159194683,993.6634289967283,-403.08189967426244,-257.94883419099887,-405.2214173285849,36.46314672507815,11.113177378349713
hier,1.5,30.0,300.0,300.0,4,0.0,422.3632317237783,436.14870163622766,-403.08189967426244,-136.28882405916738,-396.70059291210305,29.39095564482544,13.497369657047745
hier,1.5,100.0,300.0,300.0,4,233.96652159684007,498.8227295392747,257.9907411803022,-169.11537807742238,-59.829326243671005,-168.9935035067973,17.29933317069967,9.768787145681777
hier,1.5,300.0,300.0,300.0,4,286.7167902777745,529.65502253,236.49478087664258,-116.36510939648792,-28.997033252945698,-116.32508359541265,15.406472699954136,7.550403383102671
hier,1.5,1000.0,300.0,300.0,4,296.53401547260484,524.3701464593505,221.29530997866036,-106.54788420165761,-34.28190932359519,-106.55100753167362,15.114829186845459,7.049435108694825
hier,1.5,3000.0,300.0,300.0,4,297.9444501162498,527.6410525836782,224.046025107642,-105.13744955801263,-31.01100319926752,-105.15535339806047,15.095697528489394,6.965915500069192
hier,1.5,10000.0,300.0,300.0,4,298.25793539162146,527.7464528292595,222.63633321997597,-104.82396428264099,-30.905602953686184,-104.8473588041145,15.097288861359198,6.944780600473665
l1only,0.8,10.0,300.0,300.0,4,0.0,299.92159912866657,881.5087044305649,-403.08189967426244,-258.7304566542791,-405.2214173285849,36.46314672507815,11.113177378349713
l1only,0.8,30.0,300.0,300.0,4,95.90717688428008,412.412921274486,307.9257692051021,-307.17472278998235,-146.2391345084597,-307.3782021575231,20.55889900677849,14.951102296683166
l1only,0.8,100.0,300.0,300.0,4,349.0055695742678,523.9310770406995,173.8720272940806,-54.076330099994664,-34.72097874224619,-54.188349441409656,8.50698562334491,6.369864936964949
l1only,0.8,300.0,300.0,300.0,4,395.25145140014706,552.3098466407479,156.4831707972702,-7.830448274115383,-6.342209142197817,-7.873594431972773,3.2631919662725317,2.412850519783118
l1only,0.8,1000.0,300.0,300.0,4,402.3762924125318,562.0653597156216,159.30942109904572,-0.7056072617306199,3.4133039326759445,-0.7190013646404799,1.0396984134950429,0.6915480059486577
l1only,0.8,3000.0,300.0,300.0,4,403.03165791967245,558.9439938867087,155.36781528792034,-0.05024175458999025,0.29193810376295914,-0.054735665023785886,0.3531080460594845,0.1550110954270499
l1only,0.8,10000.0,300.0,300.0,4,403.08731779866713,560.2022303939593,155.8486360178381,0.005418124404684477,1.550174611013631,0.004067485217696572,0.1066474589327078,0.038139541798769584
hier,0.8,10.0,300.0,300.0,4,0.0,300.9502094230608,1023.4057706041921,-403.08189967426244,-257.7018463598849,-405.2214173285849,36.46314672507815,11.113177378349713
hier,0.8,30.0,300.0,300.0,4,0.0,396.3456364638712,453.7015623236861,-403.08189967426244,-162.3064193190745,-404.24856605829206,34.928065462838845,11.57374623247846
hier,0.8,100.0,300.0,300.0,4,174.9076650580328,481.1278587732835,297.1445080110553,-228.17423461622965,-77.5241970096622,-228.43225149293414,18.983513838684356,12.033191190739299
hier,0.8,300.0,300.0,300.0,4,222.33222623996295,503.4752254189738,267.18074364781336,-180.7496734342995,-55.176830363971874,-181.02830078613863,17.638030113294626,10.263521471691385
hier,0.8,1000.0,300.0,300.0,4,230.74406948135896,498.980946015711,258.63687415738207,-172.33783019290348,-59.67110976723467,-172.62751620404057,17.47493434578695,9.87857881398333
hier,0.8,3000.0,300.0,300.0,4,231.89795593063778,499.49735732333335,258.00531799914774,-171.18394374362467,-59.15469845961235,-171.47757675555775,17.47569020459793,9.812349311985471
hier,0.8,10000.0,300.0,300.0,4,232.14446182927563,499.40001376803025,258.9433867673482,-170.93743784498682,-59.252042014915446,-171.23256100690875,17.481837304794126,9.794883570959149
